Ph.D.,DIPLOMA
machine learning,DIPLOMA_MAJOR
AI,DIPLOMA_MAJOR
computer science,DIPLOMA_MAJOR
statistics,DIPLOMA_MAJOR
applied mathematics,DIPLOMA_MAJOR
data science,DIPLOMA_MAJOR
1+ year(s,EXPERIENCE
university,SKILLS
industry,SKILLS
government lab(s),SKILLS
AI,SKILLS
2+ years,EXPERIENCE
online advertising,SKILLS
research,SKILLS
BS/BA,DIPLOMA
Economics,DIPLOMA_MAJOR
Statistics,DIPLOMA_MAJOR
Political Science,DIPLOMA_MAJOR
History,DIPLOMA_MAJOR
Psychology,DIPLOMA_MAJOR
Masters,DIPLOMA
quantitative field,DIPLOMA_MAJOR
5+ years,EXPERIENCE
project management,SKILLS
technical project,SKILLS
program management,SKILLS
Computer Science,DIPLOMA_MAJOR
MS,DIPLOMA
Operations Research,DIPLOMA_MAJOR
Quantitative Finance,DIPLOMA_MAJOR
Math,DIPLOMA_MAJOR
Physics,DIPLOMA_MAJOR
Engineering,DIPLOMA_MAJOR
7+ years,EXPERIENCE
building models,SKILLS
developing algorithms,SKILLS
machine learning,SKILLS
statistics,SKILLS
mathematical programming,SKILLS
simulation,SKILLS
academia,SKILLS
managing,SKILLS
analyzing large-scale structured and unstructured data,SKILLS
R,SKILLS
Python,SKILLS
algorithms,SKILLS
optimizations,SKILLS
CPLEX,SKILLS
SQL,SKILLS
data modeling,SKILLS
PhD,DIPLOMA
Operation Research,DIPLOMA_MAJOR
Industrial Engineering,DIPLOMA_MAJOR
12+ years,EXPERIENCE
Ph.D,SKILLS
human-computer interaction,DIPLOMA_MAJOR
human factors,DIPLOMA_MAJOR
cognitive psychology,DIPLOMA_MAJOR
emphasizing people research in organizations,SKILLS
Industrial,SKILLS
Organizational Psychology,SKILLS
Organizational Behavior,SKILLS
Labor Economics,SKILLS
Management,SKILLS
Policy Analysis,SKILLS
3+ years,EXPERIENCE
conducting quantitative people research,SKILLS
working with stakeholders,SKILLS
communicating,SKILLS
statistical methods,SKILLS
progressive consulting,SKILLS
corporate work experience,SKILLS
using data to uncover insights that drive action,SKILLS
1+ year(s),EXPERIENCE
Bachelor,DIPLOMA
Mechanical Engineering,DIPLOMA_MAJOR
Physical Science,DIPLOMA_MAJOR
3+ years,EXPERIENCE
developing,SKILLS
fiber optic cables,SKILLS
connector related products,SKILLS
10+ years,EXPERIENCE
software engineering,SKILLS
5+ years,EXPERIENCE
technical management,SKILLS
release engineering,SKILLS
tools engineering,SKILLS
DevOps,SKILLS
BS/MS,DIPLOMA
Computer Science,DIPLOMA_MAJOR
Swift & Objective-C,SKILLS
8+ years,EXPERIENCE
people management,SKILLS
managing leaders,SKILLS
BS,DIPLOMA
7+ years,EXPERIENCE
C++,SKILLS
C++11,SKILLS
creating software for real-time environments,SKILLS
games,SKILLS
robotics,SKILLS
2+ years,EXPERIENCE
managing software engineers,SKILLS
development,SKILLS
Python,SKILLS
performance modeling,SKILLS
IT infrastructure,SKILLS
access concurrency,SKILLS
BS / MS,DIPLOMA
EE,DIPLOMA_MAJOR
